Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - DRAŽEN KELEMINEC - A - HSP - Dražen Keleminec;NIKOLA LUKIÆ;JOSIP ŠPIŠIÆ;MARINKO PEREC;STJEPAN SOKAÈ;MIRA KUTLEŠA;GORAN ŠARIÆ;MARIJANA PANIÆ;MARKO KUTLEŠA;SLADJANA PEREC;ROBERT HUZEK-KITTAN;MARGARETA MAJIÆ;VEDRAN VESENJAK;ZORICA POLJANEK;MARINA HUZEK KITTAN;FOKUS, REPUBLIKA;DAMIR BAJS;HRVOJE KOŠÆEC;NENAD PANIAN;STJEPAN GADŽE;MATIJA HERJAVIÆ;IVANA RADAKOVIÆ;MIRJANA HRANJEC BANOVEC;LUKA KIPA;STEVO TURÈINOVIÆ;JELENA HORVAT;ŽELJKA JAREC BUKAL;IVANA PIRIN;IVANA EL-TAYEB;MARIO KOLAR;ODLUÈNOST I PRAVEDNOST - OIP;MARIO IVANIÆ;GORDAN MAROVIÆ;ŠTEFAN VIDOVIÆ;SLAVOLJUB DUBRAVEC;ANTE BARIÈEVIÆ;IVICA KAURIN;DAVOR CINDRIÆ;IVANA GRBEŠA;ROBERT JOSIP VUJIÈIÆ;DARINKO TADIÆ;DALIBOR LEŠNIK;FILIP MALOÈA;VIKTOR KOKOROVIÆ;IRENA BABIÆ;STRANKA IVANA PERNARA;HERMAN VUKUŠIÆ;KRISTIJAN MARKOVIÆ;TAMARA CIBOCI;KEMAL DELIÆ;VEDRANA FUGAJ;ZDENKA BABIÆ;GABRIJELA PAUŠIÆ;PATRICIJA GOLUBIÆ;MAJA STROJANŠEK;SEBASTIAN ILIÆ;TOMISLAV PREVODNIK;MATKO LOZANÈIÆ;SARI GHAZAL;IVON RAJIÈEVIÆ;AGRARNA STRANKA - POKRET ZA HRVATSKU POLJOPRIVREDU, AKCIJA ZA PROMJENE;DALIBOR JURINA;MILJENKO ŠIMPRAGA;ANDREJA MARCETIÆ;JOSIP MIKUŠ;DAMIR RADAN;KRISTINA ŽIVKO;KRUNOSLAV LUGARIÆ;DARKO KOŠAR;VERA HADŽIÆ;STJEPAN RAKAS;NADANA JELIÆ;DOROTEA RIVIÆ;MIRSAD SADIKOVIÆ;KORNELIJA MARUŠIÆ RAKAS;DOMOVINSKI POKRET - DP, PRAVO I PRAVDA, DEMOKRATSKI HSS - DHSS, ZELENA LISTA, AGRAMERI - NEZAVISNA LISTA;TOMISLAV JOSIÆ;IVICA MESIÆ;NENAD MATIÆ;SLOBODAN NOVAK;LUKA HOLJEVAC;GRGO LUBURIÆ;TOMISLAV LONÈAR;MAJA OREŠKI PAVLIŠ;VALNA BASTIJANÈIÆ ERJAVEC;DUBRAVKA DRAGAŠEVIÆ;VEDRAN ÈERNY;ANTO JURAKIÆ;STEPHEN NIKOLA BARTULICA;DAMIR DEAK;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;GORDAN JANDROKOVIÆ;KRUNOSLAV KATIÈIÆ;DARIO HREBAK;ANTE DEUR;GORDAN GRLIÆ-RADMAN;MIRO TOTGERGELI;JAVOR BOJAN LEŠ;ZDRAVKA BUŠIÆ;SANELA GRBAŠ BRATKOVIÆ;TOMISLAV OKROŠA;FRANJO POLJAK;EVA JENDRIŠ ŠKRLJAK;BRANKO HRG;MARKO MARUŠIÆ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKO BILO, HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS;NADA ŠIKIÆ;BRIGITTE BERULEC;ZORICA GREGURIÆ;ANTUN CINDRIÆ;HANA MALINA;MARICA MARIÆ;DALIBOR ŠOSTARIÆ;KATARINA SVETEC;ALIN KAVUR;HRVOJE PAVIÆ;ZVONKO KOROV;MLADEN VUKASOVIÆ;ANDRIJA NIKOLIÆ;IGOR KIKIÆ;MOST, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, NEZAVISNA LISTA MLADIH - NLM;NINO RASPUDIÆ;TRPIMIR GOLUŽA;VINKO BATINIÆ;IVANA VLADIMIRA PETRIC;RENATA ÈIBARIÆ;VESNA KOTARAC;ELIZABETA KRALJ KOVAÈIÆ;PAŠKO FILIÆ;DOMAGOJ JUKIÆ;LUKA PEŠUT;ANÐA ÈUJIÆ;MARIJANA MARIN KOZINA;MARTA BLAJIÆ DŽAJA;BERNARD BUDIMIR;MOŽEMO! - POLITIÈKA PLATFORMA, HOÆEMO PRAVEDNO;DANIJELA DOLENEC;JELENA MILOŠ;MARINA IVANDIÆ;DAMIR LUJANAC;MAURO SIROTNJAK;BRANKO ANÈIÆ;DOROTEA ŠAFRANIÆ;ANKICA PENAVA PEJÈINOVIÆ;JAGODA MUNIÆ;NIKOLA ZDUNIÆ;HELENA KERETA;LUKA MALOÈA;MAGDALENA KOZARIÆ ŠPOLJARIÆ;TIHOMIR MILOVAC;RADNIÈKA FRONTA - RF;SANDRA CRNKOVIÆ;ZLATKO HARAPIN;VIKTORIJA ÆURLIN;DANIJEL DUJMOVIÆ;SVJETLANA GETO;ZDENKO LOVRIÆ;MAŠA VARDA;BRANKO CEROVAC;ZLATKA RAŠPERIÆ;VEDRAN IVANKOVIÆ;ANICA KRPAN;ANTONIJO CRNKOVIÆ;DOMAGOJ MARTINIÆ;VLADIMIR WÖLFL;SOCIJALDEMOKRATI, ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, DEMOKRATI;VLADO ŠOLA;VESNA NAÐ;DOMAGOJ PRICA;INES KOVAÈEVIÆ;IVAN CIKOVIÆ;STJEPAN ZORMAN;MARIJAN PREVAREK;TOMISLAV KOLUNDŽIÆ;KATA ÆORLUKA;NERMA ŠIMUNIÆ;PETAR KANEŠIÆ;SOFIJA ŠTEFANAC KLOBUÈAR;JADRANKA LUKAVEÈKI;SLAVEN ÐURÐEVIÆ;"SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKA SELJAÈKA STRANKA - HSS, ""DALIJA OREŠKOVIÆ I LJUDI S IMENOM I PREZIMENOM"" - ""DO i SIP"", NARODNA STRANKA - REFORMISTI - REFORMISTI, GRAÐANSKO-LIBERALNI SAVEZ - GLAS";BORIS LALOVAC;TANJA SOKOLIÆ;ANKA MRAK-TARITAŠ;TOMISLAV GOLUBIÆ;DAVORKA MOSLAVAC FORJAN;DENIS KRALJ;MAJA KRNJEVIÆ;VALENTINA FOLNEGOVIÆ;IGOR JAREŠ;MARIJA VUKOBRATOVIÆ;DEJAN PLENTAJ;STANKO BORIÆ;TESA GOLDSTEIN;BOJAN GLAVAŠEVIÆ;UMIROVLJENICI ZAJEDNO - POLITIÈKA PLATFORMA - UMIROVLJENICI ZAJEDNO, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU;MARIJAN ŽIHER;MILIVOJ ÈEHULIÆ;SLAVKO POSAVEC;ŽELJKICA KRUHIN;ŽELJKO ORŠOLIÆ;DRAGUTIN POLAŠEK;VALENTINA STARI;MIRA TUPEK;KATICA MUNTA;MOMÈILO TOMIÆ;BOŽICA HARABAJSA;MARICA SALOPEK;DARKO MRAZ;FABIJAN ZOVKIÆ;Latitude;Longitude
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;1;BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 17;626;394;394;388;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;9;0;0;0;0;0;0;0;1;4;0;0;4;0;141;17;0;83;1;0;1;2;0;2;0;0;1;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;19;0;0;0;0;0;0;0;0;0;0;1;0;0;22;4;0;0;0;0;0;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;1;137;35;1;14;0;0;2;1;0;0;0;19;0;0;16;11;4;0;1;0;0;0;1;0;0;0;0;0;0;0;45.8958634;16.8409076
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;2;BJELOVAR;II. OSNOVNA ŠKOLA;I. V. TRNSKOG 19;478;285;283;278;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;26;2;0;0;1;0;0;0;0;0;4;3;0;3;2;94;16;0;61;0;0;3;0;0;1;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;24;4;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;98;35;1;11;1;0;1;0;0;0;0;13;0;0;12;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;45.8987972;16.8423093
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;3;BJELOVAR;VELEUÈILIŠTE U BJELOVARU I;TRG EUGENA KVATERNIKA 4;461;283;275;266;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;5;0;0;1;0;0;0;1;1;2;0;0;2;0;97;19;0;44;1;0;0;0;0;2;0;0;0;0;17;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;23;12;1;0;0;0;0;0;0;0;0;0;0;0;0;21;6;0;0;0;0;0;0;2;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0;9;0;0;0;75;19;0;12;0;0;0;0;0;0;0;10;0;0;6;10;2;0;0;0;0;0;0;0;0;1;0;0;1;0;45.8997248;16.842195
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;4;BJELOVAR;II O.Š. PODRUÈNA ŠKOLA CENTAR;PETRA ZRINSKOG 4;434;262;262;257;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;0;0;0;0;1;0;0;1;5;0;0;3;0;106;8;0;69;0;0;1;0;0;1;0;0;0;0;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;1;0;0;0;0;0;0;0;0;0;0;0;1;81;24;1;20;0;0;0;0;0;0;0;2;0;1;7;10;2;0;1;0;1;0;0;0;0;1;0;0;0;0;45.9005666;16.8428428
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;5;BJELOVAR;VELEUÈILIŠTE U BJELOVARU II;A. B. ŠIMIÆA 1;350;212;212;211;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;3;0;0;0;0;0;0;0;0;0;0;0;2;0;78;10;0;53;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;0;3;0;0;0;0;0;0;0;0;0;0;0;21;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;62;17;0;12;1;0;0;0;0;0;1;3;0;0;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;45.9002343;16.840278
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;6;BJELOVAR;OBRTNIÈKI DOM;FRANJEVAÈKA  6A;641;435;435;429;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;6;1;0;2;1;0;1;1;2;0;0;0;6;1;160;23;0;78;1;0;4;1;2;1;0;0;0;2;30;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;24;10;2;0;0;2;0;0;0;0;0;0;2;0;0;33;3;3;0;0;0;2;0;0;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;1;0;0;1;146;41;1;37;0;0;1;0;0;0;1;7;0;0;13;18;0;0;1;1;1;1;0;1;0;2;1;1;3;0;45.8987972;16.8423093
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;7;BJELOVAR;"NARODNA KNJIŽNICA ""PETAR PRERADOVIÆ""";TRG E. KVATERNIKA 11;346;213;213;207;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3;0;0;0;0;0;0;0;2;3;0;0;0;0;68;5;0;36;0;0;2;0;1;0;0;0;0;0;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;19;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;71;15;0;9;0;0;0;0;0;0;1;8;0;0;12;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;45.8980507;16.8412606
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;8;BJELOVAR;I. OSNOVNA ŠKOLA;ŽELJKA SABOLA 14;985;615;614;604;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7;1;0;0;0;0;0;0;0;0;0;1;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;54;11;1;0;5;0;0;7;0;4;4;0;0;7;2;221;36;1;120;4;0;0;0;0;0;0;0;0;0;42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;25;2;2;0;0;0;0;0;0;0;0;1;0;1;34;7;2;0;0;0;0;0;1;0;0;0;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;192;49;0;40;1;0;1;0;1;3;0;13;0;1;18;19;1;0;0;1;1;2;0;0;0;1;0;0;1;0;45.89461619999999;16.8405132
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;9;BJELOVAR;MO DR. A. STARÈEVIÆA;A. STEPINCA 20A;1220;743;743;731;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;17;0;1;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;12;0;2;1;1;0;0;2;2;3;0;0;5;2;281;53;1;158;0;0;1;0;0;3;0;0;1;0;33;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;43;21;0;0;0;0;1;0;0;0;0;1;0;0;0;57;8;1;0;1;0;0;0;1;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230;50;4;37;1;1;0;0;0;0;1;25;1;0;24;33;13;0;2;0;1;1;0;0;0;1;0;0;1;0;45.8987972;16.8423093
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;10;BJELOVAR;DJEÈJI VRTIÆ;ULICA ALOJZIJA STEPINCA 36;531;356;356;348;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;4;0;1;0;0;1;0;0;1;3;0;0;1;0;116;10;0;63;2;0;2;0;0;0;0;0;0;0;18;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;47;13;2;0;1;1;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;0;0;1;0;0;0;130;41;0;21;0;0;0;0;0;0;0;13;0;0;14;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;45.9073091;16.8482156
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;11;BJELOVAR;IV OSNOVNA ŠKOLA I;POLJANA DR. FRANJE TUÐMANA 1;1242;790;790;775;15;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;17;8;1;1;0;0;0;0;0;0;0;0;1;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;3;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;26;1;3;4;0;3;0;0;3;6;0;0;12;2;291;39;0;168;2;0;7;0;1;4;0;0;0;0;37;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;48;29;0;0;1;0;0;0;0;0;0;1;0;0;0;53;12;1;0;0;0;0;1;0;0;1;0;0;0;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;239;72;0;37;3;0;2;0;0;1;2;34;0;0;19;15;4;0;0;0;0;3;0;0;0;0;0;0;0;0;45.9069175;16.8510677
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;12;BJELOVAR;III OSNOVNA ŠKOLA;TOME BAKAÈA 11D;1350;882;880;863;17;4;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;81;23;0;2;8;0;1;0;8;2;0;0;0;7;0;328;45;1;201;0;0;6;0;0;0;2;0;0;3;27;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;43;22;0;0;2;0;1;0;0;1;0;0;0;0;0;73;13;2;0;1;1;0;0;2;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;0;1;0;1;0;11;5;0;0;0;0;0;0;1;1;0;1;0;0;0;282;82;2;49;0;1;0;0;1;0;1;15;0;1;32;9;1;0;0;0;3;1;0;1;0;0;0;1;0;0;45.4415099;16.2879933
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;13;BJELOVAR;"MO ""A.G.MATOŠ""";JANKA DRAŠKOVIÆA 1B;617;394;394;382;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;7;1;1;0;0;0;0;0;1;3;0;0;4;1;188;22;0;112;0;0;2;0;1;6;0;0;0;0;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;13;0;1;0;0;0;0;0;0;0;0;1;0;0;27;5;1;0;2;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;1;0;0;0;1;0;0;0;87;19;2;13;0;0;0;0;0;1;0;8;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.8950446;16.8404743
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;14;BJELOVAR;DJEÈJI VRTIÆ BJELOVAR;TRG ANTUNA GUSTAVA MATOŠA 8A;1067;625;625;608;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;8;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;49;12;2;5;0;1;0;0;0;2;4;0;0;3;3;252;36;0;159;2;0;1;0;0;2;0;0;0;0;19;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;36;16;0;0;0;1;0;0;0;0;0;0;0;0;0;35;8;1;0;2;0;0;0;0;0;1;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;1;0;1;0;0;0;0;0;194;51;4;19;2;0;0;1;0;1;1;7;0;0;18;11;5;0;0;0;0;2;0;0;1;0;0;0;0;0;45.8948773;16.8394325
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;15;BJELOVAR;"MO ""STJEPAN RADIÆ""";ANDRIJE MOHOROVIÈIÆA 59;1439;947;946;926;20;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;17;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;26;0;3;2;0;0;0;1;1;12;0;0;12;2;383;49;0;214;1;0;2;4;1;7;0;0;0;1;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;29;3;0;0;0;0;0;0;0;1;0;2;0;0;63;16;0;0;0;0;1;0;1;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;1;0;0;0;0;0;0;0;0;0;0;0;1;259;64;0;47;3;0;0;0;1;1;1;15;3;2;19;21;4;1;0;0;0;3;0;0;0;0;0;0;2;1;45.8986836;16.8311212
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;16;BJELOVAR;IV OSNOVNA ŠKOLA II;POLJANA DR. FRANJE TUÐMANA 1;1120;748;748;733;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;12;0;2;1;0;0;0;0;3;3;0;0;10;2;287;31;0;173;0;0;1;0;0;2;0;0;0;0;43;5;0;0;0;1;1;0;0;0;0;1;0;0;0;0;44;21;1;1;0;0;0;1;0;2;0;0;1;0;1;48;11;5;1;0;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;1;0;0;2;0;0;0;234;54;2;34;0;0;1;0;2;5;0;45;1;0;5;15;4;0;0;0;0;0;0;0;0;0;0;0;3;0;45.9069175;16.8510677
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;17;BJELOVAR;MEDICINSKA ŠKOLA;POLJANA DR. FRANJE TUÐMANA 8;652;399;399;388;11;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;0;0;1;0;0;0;0;0;0;1;0;5;0;149;17;0;99;0;0;0;0;1;2;0;0;0;0;19;4;0;0;1;0;0;1;0;0;0;0;0;1;1;0;18;7;0;0;0;0;0;0;1;0;0;0;0;0;0;28;6;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0;0;0;2;0;0;0;135;26;1;27;0;0;1;0;0;1;0;14;0;0;13;14;5;0;0;0;0;3;1;0;2;0;0;0;0;0;45.9089681;16.8530018
2;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;18;BJELOVAR;UGOSTITELJSKA ŠKOLA;POLJANA DR. FRANJE TUÐMANA 10;1193;811;811;799;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;2;0;0;0;0;0;0;0;0;0;2;0;0;9;0;0;1;1;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;20;2;1;2;0;0;0;0;2;6;1;0;11;5;334;14;0;207;0;0;3;0;0;6;1;0;0;0;63;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;56;30;0;2;0;0;0;0;1;0;0;1;0;0;1;54;10;2;2;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;1;0;0;0;0;0;0;230;61;0;26;1;0;0;0;0;1;1;21;0;0;24;15;2;0;1;0;0;0;0;0;0;0;1;0;0;0;45.8987972;16.8423093
